iGrID,RAJ2000,DEJ2000,z,logLtot,logLobs,logMtot,logMstar,NMstar,logMdyn,sigma,Rad,angRad,DL,Ntot
13670,98.09790039,35.18991089,0.0243842,11.066,10.9032,12.16673,,0,,,,,102.2251,1
26599,101.04527283,35.77909088,0.0778268,13.54739,11.77967,14.1145,,0,,,,,341.1088,1
17825,99.01023102,36.11029816,0.0254298,11.13683,10.95889,12.22068,,0,,,,,106.7003,1
12702,100.09396362,36.34373093,0.0254475,11.38399,11.20592,12.779,,0,9.4937,231.0344,8.3742,0.004725,106.7759,2
15043,100.06388855,36.69517136,0.0387991,11.73469,11.27372,12.67902,,0,,,,,164.6006,1
8842,96.97109222,35.5170784,0.0252193,11.44079,11.26595,12.72491,,0,8.7158,32.0,72.7821,0.041429,105.7989,2
9460,97.98107147,35.55250168,0.0234567,11.15306,11.00389,12.2449,,0,,,,,98.2619,1
17583,95.95587158,35.63961029,0.0235761,10.99925,10.84813,12.11565,,0,,,,,98.7717,1
7377,99.21552277,37.57049179,0.0239901,11.2721,11.11496,12.344,,0,,,,,100.5406,1
15749,97.75074768,37.90689087,0.0230346,10.95827,10.8144,12.08492,,0,,,,,96.4605,1
6276,98.5402832,38.23789978,0.0179518,10.94664,10.8625,12.10198,,0,,,,,74.863,1
8514,102.77352905,39.6759491,0.0307367,11.5436,11.27273,12.54735,,0,,,,,129.5319,1
25633,99.8764267,37.76787186,0.0397355,11.65967,11.17416,12.60657,,0,,,,,168.7037,1
12907,99.25057983,38.0190506,0.0237977,11.07347,10.91917,12.17608,,0,,,,,99.7182,1
8011,100.80111694,39.45941925,0.0435914,12.25271,11.65897,13.13103,,0,,,,,185.6664,1
26642,101.76190186,40.02204895,0.0187289,10.59424,10.5029,11.82285,,0,,,,,78.1533,1
18543,100.38458252,40.1697197,0.0213835,10.78203,10.65962,11.95254,,0,,,,,89.4249,1
3178,101.2647171,40.41429138,0.0248184,11.52747,11.35857,12.56405,,0,,,,,104.0828,1
13123,107.42397308,36.36919022,0.0242766,11.10375,10.94274,12.19892,,0,,,,,101.7653,1
